Index	Name	Description	File Name	Quantity
10.1.3.4.1.1.14	Cypress CYW43455 Wireless Module Cover, RPi4ModelB		/home/djordje/Desktop/slat-sort-cam-dark-box/downloads/raspberry_pi_4_model_b.FCStd	1
10.1.3.4.1.1.15	SD Card Slot, RPi4ModelB010		/home/djordje/Desktop/slat-sort-cam-dark-box/downloads/raspberry_pi_4_model_b.FCStd	1
10.1.3.4.1.1.15.1	SD Card Slot, RPi4ModelB		/home/djordje/Desktop/slat-sort-cam-dark-box/downloads/raspberry_pi_4_model_b.FCStd	1
10.1.3.4.1.1.15.2	SD Card Slot, RPi4ModelB001		/home/djordje/Desktop/slat-sort-cam-dark-box/downloads/raspberry_pi_4_model_b.FCStd	1
10.1.3.4.1.1.15.3	SD Card Slot, RPi4ModelB002		/home/djordje/Desktop/slat-sort-cam-dark-box/downloads/raspberry_pi_4_model_b.FCStd	1
10.1.3.4.1.1.15.4	SD Card Slot, RPi4ModelB003		/home/djordje/Desktop/slat-sort-cam-dark-box/downloads/raspberry_pi_4_model_b.FCStd	1
10.1.3.4.1.1.15.5	SD Card Slot, RPi4ModelB004		/home/djordje/Desktop/slat-sort-cam-dark-box/downloads/raspberry_pi_4_model_b.FCStd	1
10.1.3.4.1.1.15.6	SD Card Slot, RPi4ModelB005		/home/djordje/Desktop/slat-sort-cam-dark-box/downloads/raspberry_pi_4_model_b.FCStd	1
10.1.3.4.1.1.15.7	SD Card Slot, RPi4ModelB006		/home/djordje/Desktop/slat-sort-cam-dark-box/downloads/raspberry_pi_4_model_b.FCStd	1
10.1.3.4.1.1.15.8	SD Card Slot, RPi4ModelB007		/home/djordje/Desktop/slat-sort-cam-dark-box/downloads/raspberry_pi_4_model_b.FCStd	1
10.1.3.4.1.1.15.9	SD Card Slot, RPi4ModelB008		/home/djordje/Desktop/slat-sort-cam-dark-box/downloads/raspberry_pi_4_model_b.FCStd	1
10.1.3.4.1.1.15.10	SD Card Slot, RPi4ModelB009		/home/djordje/Desktop/slat-sort-cam-dark-box/downloads/raspberry_pi_4_model_b.FCStd	1
10.1.3.4.1.1.16	VIA VL805 PCIe USB 3.0 controller, RPi4ModelB		/home/djordje/Desktop/slat-sort-cam-dark-box/downloads/raspberry_pi_4_model_b.FCStd	1
10.1.3.4.1.1.17	2X USB2.0 PORTS, RPi4ModelB		/home/djordje/Desktop/slat-sort-cam-dark-box/downloads/raspberry_pi_4_model_b.FCStd	1
10.1.3.4.1.1.18	Broadcom BCM54213PE Gigabit Ethernet Transceiver, RPi4ModelB		/home/djordje/Desktop/slat-sort-cam-dark-box/downloads/raspberry_pi_4_model_b.FCStd	1
10.1.3.4.1.1.19	MxL7704 Universal PMIC, RPi4ModelB		/home/djordje/Desktop/slat-sort-cam-dark-box/downloads/raspberry_pi_4_model_b.FCStd	1
10.1.3.4.1.2	Hex screw M2.5 04.0		/home/djordje/Desktop/slat-sort-cam-dark-box/secondary/bolts.FCStd	8
10.1.3.5	asm_cam_mount		/home/djordje/Desktop/slat-sort-cam-dark-box/assembly/asm_cam_holder.FCStd	1
10.1.3.5.1	asm_cam_mount		/home/djordje/Desktop/slat-sort-cam-dark-box/assembly/asm_cam_mount.FCStd	1
10.1.3.5.1.1	cam_holder_base		/home/djordje/Desktop/slat-sort-cam-dark-box/parts/cam_holder/cam_holder_base.FCStd	2
10.1.3.5.1.2	Raspberry Pi HQ Camera with cs mount lens v014		/home/djordje/Desktop/slat-sort-cam-dark-box/downloads/raspberry_pi_camera.FCStd	2
